date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,AY.4.2,B.1.1.529,B.1.1.7,B.1.1.7+E484K,B.1.351,B.1.427/B.1.429,B.1.525,B.1.526,B.1.616,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.620,B.1.621,B.1.640,C.1.2,C.37,P.1,P.3,UNK,Other
2020-04-24,779,18090,621,2152,131,107.429,1780.484,76.672,61.121,211.808,12.893,10.574,1.09,537,52.854,2236,220.075,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,473,18563,612.571,2192,40,97.286,1827.038,46.554,60.292,215.745,3.937,9.575,1.08,551,54.231,2244,220.863,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,300,18863,600,2194,2,93.429,1856.565,29.527,59.054,215.942,0.197,9.196,1.07,542,53.346,2262,222.634,0,0,0,0,0,0,0,0,0,0,64.81,1971.6,6.1,34.92,194.0520813,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,563,19426,614.571,2274,80,99.143,1911.978,55.413,60.488,223.815,7.874,9.758,1.06,533,52.46,2312,227.555,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,742,20168,619.571,2355,81,84.286,1985.008,73.03,60.98,231.788,7.972,8.296,1.05,529,52.066,2278,224.209,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,798,20966,630.429,2462,107,75,2063.55,78.542,62.049,242.319,10.531,7.382,1.04,541,53.247,2221,218.599,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,635,21601,612.857,2586,124,80.714,2126.049,62.499,60.32,254.524,12.205,7.944,1.03,521,51.279,2229,219.386,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,532,22133,577.571,2653,67,71.571,2178.411,52.361,56.847,261.118,6.594,7.044,1.02,518,50.983,2144,211.02,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-02,299,22432,552.714,2669,16,68.143,2207.839,29.429,54.4,262.693,1.575,6.707,1.02,518,50.983,2172,213.776,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-03,261,22693,547.143,2679,10,69.286,2233.528,25.689,53.852,263.677,0.984,6.819,1.02,512,50.393,2205,217.024,0,0,0,0,0,0,0,0,0,0,64.81,2592.3,7.63,37.22,255.1436449,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,476,23169,534.714,2769,90,70.714,2280.378,46.85,52.629,272.535,8.858,6.96,1.02,511,50.294,2255,221.945,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,657,23826,522.571,2854,85,71.286,2345.042,64.664,51.433,280.901,8.366,7.016,1.02,497,48.917,2264,222.831,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,746,24572,515.143,2941,87,68.429,2418.466,73.424,50.702,289.464,8.563,6.735,1.03,487,47.932,2220,218.501,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
