date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,new_tests,total_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,B.1.1.7,B.1.617.2,B.1.1.529,Other,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
2020-08-06,378,78719,271.571,5766,6,3.857,1.06,31,3.051,210,7682,378103,7637,0.0356,28.1,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,78719,5766,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-07,380,79099,289,5763,-3,2.857,1.06,29,2.854,210,7682,385785,7652,0.0378,26.5,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,79099,5763,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-08,260,79359,282.857,5763,0,2.857,1.05,29,2.854,211,7682,393467,7667,0.0369,27.1,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,79359,5763,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-09,73,79432,287.857,5763,0,2.857,1.04,29,2.854,208,7682,401149,7682,0.0375,26.7,,,,,,59.26,5002.1,8.91,4.04,492.3249725,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,79432,5763,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-10,196,79628,292.286,5763,0,2.857,1.04,31,3.051,221,8109,409258,7743,0.0377,26.5,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,79628,5763,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-11,417,80045,304.143,5770,7,3.286,1.03,32,3.15,213,8109,417367,7804,0.039,25.7,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,80045,5770,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-12,444,80489,306.857,5774,4,2,1.02,33,3.248,218,8109,425476,7865,0.039,25.6,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,80489,5774,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-13,362,80851,304.571,5776,2,1.429,1.01,33,3.248,215,8109,433585,7926,0.0384,26,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,80851,5776,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-14,344,81195,299.429,5783,7,2.857,1,31,3.051,209,8109,441694,7987,0.0375,26.7,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,81195,5783,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-15,226,81421,294.571,5783,0,2.857,0.99,29,2.854,209,8109,449803,8048,0.0366,27.3,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,81421,5783,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-16,63,81484,293.143,5783,0,2.857,0.97,29,2.854,211,8109,457912,8109,0.0362,27.7,,,,,,59.26,5012.8,8.69,0.69,493.3781056,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,81484,5783,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
